item,日期,现金支出,水,煤气,固定资产税,转账
,当前汇总,361305,39968,23437,297900,400000
,,,,,,
43,27/06/2022,1826,1826,0,0,0
42,30/05/2022,109600,0,0,109600,0
41,22/04/2022,1826,1826,0,0,0
40,22/02/2022,0,0,0,0,150000
39,21/02/2022,15826,1826,0,14000,0
,,,,,,
38,24/12/2021,15826,1826,0,14000,0
37,26/10/2021,1826,1826,0,0,0
36,27/08/2021,1826,1826,0,0,0
35,29/07/2021,14000,0,0,14000,0
34,25/06/2021,1826,1826,0,0,0
33,31/05/2021,17300,0,0,17300,0
32,30/04/2021,1826,1826,0,0,0
31,28/02/2021,17826,1826,0,16000,0
,,,,,,
30,30/12/2020,17826,1826,0,16000,0
29,27/10/2020,1826,1826,0,0,0
28,31/08/2020,1826,1826,0,0,0
27,28/07/2020,16000,0,0,16000,0
26,01/07/2020,1826,1826,0,0,0
25,03/06/2020,0,0,0,0,150000
24,01/06/2020,16500,0,0,16500,0
23,28/04/2020,1826,1826,0,0,0
22,27/02/2020,17826,1826,0,16000,0
,,,,,,
21,26/12/2019,19892,1826,2066,16000,0
20,16/12/2019,1296,0,1296,0,0
19,13/11/2019,1271,0,1271,0,0
18,28/10/2019,1792,1792,0,0,0
17,06/09/2019,1242,0,1242,0,0
16,28/08/2019,1792,1792,0,0,0
15,30/07/2019,17242,0,1242,16000,0
14,26/06/2019,3034,1792,1242,0,0
13,27/05/2019,17742,0,1242,16500,0
12,22/04/2019,1792,1792,0,0,0
11,12/04/2019,1242,0,1242,0,0
10,05/04/2019,3764,0,3764,0,0
9,15/02/2019,1792,1792,0,0,0
8,08/02/2019,1242,0,1242,0,0
7,09/01/2019,2207,0,2207,0,0
,,,,,,
6,18/12/2018,1792,1792,0,0,0
5,10/12/2018,1342,0,1342,0,0
4,08/11/2018,1512,0,1512,0,0
3,01/10/2018,1342,0,1342,0,0
2,09/09/2018,1185,0,1185,0,0
1,08/08/2018,0,0,0,0,100000
